oidModel;oidMac;oidModel;oidSerial;oidPageCount;oidBlackTonerFULL;oidCyanTonerFULL;oidMagentaTonerFULL;oidYellowTonerFULL;oidBlackToner;oidCyanToner;oidMagentaToner;oidYellowToner;oidWasteContainer;oidUnitImageFULL;oidUnitImage
HP Laser MFP 432;1.3.6.1.2.1.43.5.1.1.16.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.10.2.1.4.1.1;1.3.6.1.2.1.43.11.1.1.8.1.1;;;;1.3.6.1.2.1.43.11.1.1.9.1.1;;;;;1.3.6.1.2.1.43.11.1.1.8.1.2;1.3.6.1.2.1.43.11.1.1.9.1.2
Samsung C4062FX;1.3.6.1.2.1.43.5.1.1.16.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.10.2.1.4.1.1;1.3.6.1.2.1.43.11.1.1.8.1.4;1.3.6.1.2.1.43.11.1.1.8.1.1;1.3.6.1.2.1.43.11.1.1.8.1.2;1.3.6.1.2.1.43.11.1.1.8.1.3;1.3.6.1.2.1.43.11.1.1.9.1.4;1.3.6.1.2.1.43.11.1.1.9.1.1;1.3.6.1.2.1.43.11.1.1.9.1.2;1.3.6.1.2.1.43.11.1.1.9.1.3;1.3.6.1.2.1.43.11.1.1.9.1.8;;
Samsung K4350LX;1.3.6.1.2.1.43.5.1.1.16.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.10.2.1.4.1.1;1.3.6.1.2.1.43.11.1.1.8.1.1;;;;1.3.6.1.2.1.43.11.1.1.9.1.1;;;;;1.3.6.1.2.1.43.11.1.1.8.1.2;1.3.6.1.2.1.43.11.1.1.9.1.2
Samsung M5360RX;1.3.6.1.2.1.43.5.1.1.16.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.5.1.1.17.1;;1.3.6.1.2.1.43.11.1.1.8.1.1;1.3.6.1.2.1.43.11.1.1.8.1.1;1.3.6.1.2.1.43.11.1.1.8.1.2;1.3.6.1.2.1.43.11.1.1.8.1.3;1.3.6.1.2.1.43.11.1.1.9.1.1;1.3.6.1.2.1.43.11.1.1.9.1.1;1.3.6.1.2.1.43.11.1.1.9.1.2;1.3.6.1.2.1.43.11.1.1.9.1.3;;1.3.6.1.2.1.43.11.1.1.8.1.2;1.3.6.1.2.1.43.11.1.1.9.1.2
Samsung M5370LX;1.3.6.1.2.1.43.5.1.1.16.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.5.1.1.17.1;;1.3.6.1.2.1.43.11.1.1.8.1.1;1.3.6.1.2.1.43.11.1.1.8.1.1;1.3.6.1.2.1.43.11.1.1.8.1.2;1.3.6.1.2.1.43.11.1.1.8.1.3;1.3.6.1.2.1.43.11.1.1.9.1.1;1.3.6.1.2.1.43.11.1.1.9.1.1;1.3.6.1.2.1.43.11.1.1.9.1.2;1.3.6.1.2.1.43.11.1.1.9.1.3;;1.3.6.1.2.1.43.11.1.1.8.1.2;1.3.6.1.2.1.43.11.1.1.9.1.2
Samsung C4010ND;1.3.6.1.2.1.43.5.1.1.16.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.5.1.1.17.1;;;;;;;;;;1.3.6.1.2.1.43.11.1.1.9.1.8;;
Samsung 4020;1.3.6.1.2.1.43.5.1.1.16.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.5.1.1.17.1;1.3.6.1.2.1.43.10.2.1.4.1.1;1.3.6.1.2.1.43.11.1.1.8.1.1;;;;1.3.6.1.2.1.43.11.1.1.9.1.1;;;;;;
